Monte Carlo,MCO,218,1200,R.M.C
Allouis,FR,164,2000,France Inter
Limoges,FR,1349,20,France Culture
Toulouse,FR,1349,50,France Culture
Lille,FR,1376,300,Inter Varietes
Brest,FR,1403,20,Inter Varietes
Pau,FR,1403,20,Inter Varietes
Rouen,FR,1403,Inter Varietes
Lyon,FR,602,300,Inter Varietes
Marseille,FR,674,150,Inter Varietes
Rennes,FR,710,300,Inter Varietes
Limoges,FR,791,300,Inter Varietes
Nancy,FR,836,200,Inter Varietes
Toulouse,FR,844,300,Inter Varietes
Paris,FR,1070,100,Inter Varietes
Strasbourg,FR,1160,200,Inter Varietes
Bordeaux,FR,1205,300,Inter Varietes
Nancy,FR,1241,100,France Culture
Nice,FR,1241,100,France Culture
Strasbourg,FR,1277,300,France Culture
Ajaccio,FR,1493,10,Inter Varíetes
Nice,FR,1554,300,France Inter
Toulouse,FR,944,300,FR Foreign Service
