Kalundborg,DK,245,150,Danmarks Radio (DR) P1
Kalundborg,DK,1061,60,Danmarks Radio (DR) P2
Skive,DK,1430,70,Danmarks Radio (DR) P2
Kobenhavn,DK,1430,10,Danmarks Radio (DR) P3
Kobenhavn,DK,1484,10,Danmarks Radio (DR) P1
Lahti,FI,254,200,Yleisradio (YLE) I
Vaasa,FI,1241,25,Yleisradio (YLE) II
Oulu,FI,433,10,Yleisradio (YLE) I
Helsinki II,FI,1412,2,Yleisradio (YLE) II
Joensuu,FI,520,1,Yleisradio (YLE) I
Turku II,FI,1412,4,Yleisradio (YLE) II
Helsinki I,FI,557,100,Yleisradio (YLE) I
Tampere,FI,1421,1,Yleisradio (YLE) I
Kuopio,FI,755,20,Yleisradio (YLE) I
Pietarsaari,FI,1484,1,Yleisradio (YLE) II
Ylivieska,FI,836,10,Yleisradio (YLE) I
Pori,FI,1484,1,Yleisradio (YLE) I
Turku I,FI,962,100,Yleisradio (YLE) I
Falun,SE,1223,100,Sveriges Radio (SR) P1
Motala,SE,191,300,Sveriges Radio (SR) P1
Göteborg,SE,980,150,Sveriges Radio (SR) P1
Stockholm,SE,773,150,Sveriges Radio (SR) P1
Hörby,SE,1178,100,Sveriges Radio Ausland P1
Sundsvall,SE,593,150,Sveriges Radio (SR) P1
Lulea,SE,182,20,Sveriges Radio (SR) P
Ostersund,SE,719,150,Sveriges Radio (SR) P1
Tromso,NO,155,10,NRK P1 Regional
Bergen,NO,890,20,NRK P1
Oslo,NO,218,200,NRK P1
Kristiansand,NO,890,10,NRK P1
Vigra,NO,629,100,NRK P1
Trondelag,NO,890,10,NRK P1
Bodo,NO,674,10,NRK P1
Stavanger,NO,1313,100,NRK P1
Finmark,NO,701,20,NRK P1
Fredrikstad,NO,1578,10,NRK P1
